gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,firstPick,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,damagetotowers,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,1,Blue,top,Empyros,oe:player:9db3f170213f562a9613fe4f99d7dfa,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,Ambessa,Neeko,Sion,Malphite,Nami,Bard,,,,,,1933,1,3,1,1,13,2,0,0,0,0,0,0,0,0,0.4035,0.4656,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,40503,1257.2064,0.412274,800.5173,1524.5525,5362,13,0.4035,6,0.1862,7,42,1.3037,13809,9590,297.6720,0.196384,13175,,,336,336,0,,,10.4294,3585,5224,95,3299,4963,92,286,261,3,0,0,0,0,0,0,5889,9728,155,5093,8307,141,796,1421,14,1,0,0,0,0,1,8267,13425,213,7521,12089,210,746,1336,3,2,0,0,0,0,1,10292,17081,250,9659,14584,245,633,2497,5,3,0,1,1,0,3
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,2,Blue,jng,Razork,oe:player:390ca7b6b38d552363eba1b5b54ff18,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,Vi,Neeko,Sion,Malphite,Nami,Bard,,,,,,1933,1,0,0,7,13,2,0,0,0,0,0,0,0,0,0.4035,0.4656,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,0,0,11219,348.2359,0.114196,507.9669,983.9628,4913,16,0.4966,12,0.3725,9,65,2.0176,12401,8182,253.9679,0.167551,11375,,,250,17,233,,,7.7600,3282,3720,70,3324,3879,74,-42,-159,-4,0,0,0,0,0,0,5016,6245,118,5346,6157,113,-330,88,5,0,0,0,1,0,1,7184,9411,166,6987,8471,149,197,940,17,0,1,0,1,0,1,9301,12728,195,8463,10421,172,838,2307,23,0,3,0,1,0,2
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,3,Blue,mid,Vladi,oe:player:367fecc4cb53a8234abbd9f283b7997,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,Taliyah,Neeko,Sion,Malphite,Nami,Bard,,,,,,1933,1,3,0,8,13,2,0,0,0,0,0,0,0,0,0.4035,0.4656,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,21780,676.0476,0.221695,315.3958,163.5799,11520,18,0.5587,13,0.4035,6,52,1.6141,15908,11689,362.8246,0.239367,14700,,,378,370,8,,,11.7331,3706,5540,112,3841,5379,108,-135,161,4,0,0,0,0,0,0,5793,8396,168,5600,8497,166,193,-101,2,0,0,0,0,0,0,8204,11993,237,7923,11360,231,281,633,6,0,1,0,0,0,1,11542,16170,297,10691,15560,287,851,610,10,1,4,0,0,1,1
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,4,Blue,bot,Upset,oe:player:fe4329cec43193c425eb28a4a4b304a,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,Yunara,Neeko,Sion,Malphite,Nami,Bard,,,,,,1933,1,7,0,4,13,2,1,0,0,0,0,0,0,0,0.4035,0.4656,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,1,0,21378,663.5696,0.217603,482.6694,261.9452,8960,21,0.6518,12,0.3725,9,62,1.9245,18891,14672,455.4165,0.300452,15700,,,369,337,32,,,11.4537,3569,3671,104,3810,3545,110,-241,126,-6,0,0,0,0,0,0,6023,5792,154,6197,5527,166,-174,265,-12,1,0,0,0,0,0,8521,8535,212,8465,7858,222,56,677,-10,1,0,0,0,0,0,12639,11680,269,10312,10105,269,2327,1575,0,3,2,0,0,0,1
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,5,Blue,sup,Lospa,oe:player:0758af26fa0c3af6899bb1569059609,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,Alistar,Neeko,Sion,Malphite,Nami,Bard,,,,,,1933,1,0,1,11,13,2,0,0,0,0,0,0,0,1,0.4035,0.4656,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,0,0,3363,104.3870,0.0342314,486.5494,574.4853,1125,80,2.4832,9,0.2794,17,124,3.8489,8919,4700,145.8872,0.0962472,7780,,,37,33,4,,,1.1485,2350,3047,19,2459,3312,22,-109,-265,-3,0,0,0,0,0,0,3544,4040,23,3709,4900,32,-165,-860,-9,0,1,1,0,0,0,4666,5232,25,5265,6407,36,-599,-1175,-11,0,2,1,0,0,0,6600,8296,33,6337,8388,39,263,-92,-6,0,6,1,0,0,0
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,6,Red,top,Baus,oe:player:7f77fb35ead1b44ec7cb3ebb5a395ac,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,0,Kled,Jayce,Azir,Orianna,Jax,Rumble,,,,,,1933,0,1,4,0,2,13,0,0,0,0,0,0,0,0,0.0621,0.4656,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0,16847,522.9281,0.341988,1677.6720,1643.9938,5301,16,0.4966,8,0.2483,3,56,1.7382,12427,8208,254.7750,0.22629,11875,,,309,309,0,,,9.5913,3299,4963,92,3585,5224,95,-286,-261,-3,0,0,0,0,0,0,5093,8307,141,5889,9728,155,-796,-1421,-14,0,0,1,1,0,0,7521,12089,210,8267,13425,213,-746,-1336,-3,0,0,1,2,0,0,9659,14584,245,10292,17081,250,-633,-2497,-5,1,0,3,3,0,1
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,7,Red,jng,Velja,oe:player:a68581f40d30119bad63673b157e660,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,0,Jarvan IV,Jayce,Azir,Orianna,Jax,Rumble,,,,,,1933,0,1,4,0,2,13,0,0,0,0,1,1,0,0,0.0621,0.4656,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,0,0,3177,98.6136,0.0644919,745.4837,802.1935,1304,9,0.2794,15,0.4656,8,63,1.9555,9965,5746,178.3549,0.158415,9600,,,190,15,175,,,5.8976,3324,3879,74,3282,3720,70,42,159,4,0,0,0,0,0,0,5346,6157,113,5016,6245,118,330,-88,-5,1,0,1,0,0,0,6987,8471,149,7184,9411,166,-197,-940,-17,1,0,1,0,1,0,8463,10421,172,9301,12728,195,-838,-2307,-23,1,0,2,0,3,0
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,8,Red,mid,Nemesis,oe:player:456d479c879155333c0624219803ec4,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,0,Ryze,Jayce,Azir,Orianna,Jax,Rumble,,,,,,1933,0,0,2,1,2,13,0,0,0,0,0,0,0,0,0.0621,0.4656,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,1,8207,254.7439,0.166599,469.7879,307.0150,7906,14,0.4346,9,0.2794,1,41,1.2726,13334,9115,282.9281,0.251295,13075,,,359,355,4,,,11.1433,3841,5379,108,3706,5540,112,135,-161,-4,0,0,0,0,0,0,5600,8497,166,5793,8396,168,-193,101,-2,0,0,0,0,0,0,7923,11360,231,8204,11993,237,-281,-633,-6,0,0,1,0,1,0,10691,15560,287,11542,16170,297,-851,-610,-10,0,1,1,1,4,0
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,9,Red,bot,Crownie,oe:player:1c51707d8fd9873c9fd184e2cd01b33,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,0,Corki,Jayce,Azir,Orianna,Jax,Rumble,,,,,,1933,0,0,3,0,2,13,0,0,0,0,0,0,0,0,0.0621,0.4656,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,1,15026,466.4046,0.305022,423.8800,286.9012,2058,14,0.4346,15,0.4656,3,49,1.5210,13658,9439,292.9850,0.260228,12483,,,354,346,8,,,10.9881,3810,3545,110,3569,3671,104,241,-126,6,0,0,0,0,0,0,6197,5527,166,6023,5792,154,174,-265,12,0,0,0,1,0,0,8465,7858,222,8521,8535,212,-56,-677,10,0,0,0,1,0,0,10312,10105,269,12639,11680,269,-2327,-1575,0,0,0,1,3,2,0
LOLTMNT06_164200,complete,,LEC,2026,Versus,0,2026-01-17 16:08:02,1,16.01,10,Red,sup,Rekkles,oe:player:d8362fe0d38ca0e70953ed957deaa00,Los Ratones,oe:team:2d096df29ab7e32950c86e0d72fc986,0,Braum,Jayce,Azir,Orianna,Jax,Rumble,,,,,,1933,0,0,0,0,2,13,0,0,0,0,0,0,0,0,0.0621,0.4656,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,0,0,6005,186.3942,0.121899,314.8681,362.6073,5160,60,1.8624,18,0.5587,13,138,4.2835,7983,3764,116.8339,0.103773,7785,,,47,47,0,,,1.4589,2459,3312,22,2350,3047,19,109,265,3,0,0,0,0,0,0,3709,4900,32,3544,4040,23,165,860,9,0,0,0,0,1,1,5265,6407,36,4666,5232,25,599,1175,11,0,0,0,0,2,1,6337,8388,39,6600,8296,33,-263,92,6,0,0,0,0,6,1
